,num_matches,ratio,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,birth,ht,minutes,perc_ace,_1stwon_1stIn,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon,rank,hand_num,gender_num,ioc_num
1656,50,44.0,44.0,0.0,0.0,1994.0,174.8,60.535714285714285,2.31,18.144997974888614,4.5,7.14,2.31,5.79,40.27,374.0,1,0,16
1657,76,48.68421052631579,50.98039215686274,25.0,44.0,2000.0,172.75,59.91025641025641,4.62,8.088888888888889,4.62,19.64,0.9,2.34,14.1,818.0,1,0,14
1658,94,45.74468085106383,39.68253968253968,31.0,58.06451612903226,1997.0,185.7058823529412,95.6513907888737,5.33,66.44805876180483,9.44,48.18,7.97,6.55,67.08,366.0,2,1,42
1659,74,56.75675675675676,50.0,20.0,75.0,1998.0,173.1818181818182,62.07217261904762,2.89,52.46804715416983,4.36,39.26,2.29,4.84,35.59,502.0,2,0,90
1660,28,42.85714285714285,54.54545454545454,6.0,0.0,2000.0,186.96153846153845,92.1875,17.64,72.54746835443038,9.81,44.94,9.67,6.2,73.14,448.0,1,1,29
1661,84,54.761904761904766,55.072463768115945,15.0,53.333333333333336,1992.0,187.53125,89.28546910755149,9.45,70.68403908794788,5.29,53.07,13.33,7.48,70.31,424.0,1,1,90
1662,113,69.91150442477876,73.49397590361446,30.0,60.0,1991.0,172.75,67.61411020104245,14.31,56.25342340697463,4.35,58.43,3.35,6.51,45.48,328.0,1,0,14
1663,258,59.68992248062015,62.91079812206573,45.0,44.44444444444444,1995.0,173.0,85.92482517482517,5.3,60.64073011618013,6.59,45.34,4.95,7.93,57.4,107.0,1,0,82
1664,254,60.23622047244095,61.6580310880829,61.0,55.73770491803278,1996.0,172.5,70.59111499385233,5.63,58.673887226726166,5.2,48.44,3.64,6.68,49.89,225.0,1,0,81
1665,157,69.42675159235668,62.88659793814433,60.0,80.0,1999.0,171.33333333333334,61.89248853211009,9.77,66.95875782889664,7.15,65.04,1.74,5.1,32.69,563.0,2,0,80
1666,16,56.25,56.25,0.0,0.0,1988.0,185.0,107.67460317460316,9.15,72.42268041237114,15.85,43.84,5.04,7.49,65.36,596.0,1,1,51
1667,25,40.0,44.44444444444444,16.0,37.5,2004.0,173.1818181818182,61.4,4.94,39.51701427003293,6.59,51.43,4.87,6.42,44.3,1182.0,1,0,90
