,name,ratio,num_matches_2016-2019,ratio_2016-2019,num_matches_2020-2021,ratio_2020-2021,hand,gender,ioc,birth,ht,minutes,perc_ace,serv_won_tot_seve,bpFaced,perc_df,perc_2ndwon,perc_v_ace,perc_v_df,perc_v_1stwon
2208,LUCIA BRONZETTI,0.5968379446640316,174.0,0.5632183908045977,79.0,0.6708860759493671,R,F,ITA,1998.0,166.83333333333334,61.51321256979613,7.5,0.5340931554496184,1576.0,6.11,51.9,2.47,5.7,36.66
2215,LUCIE HAVLICKOVA,0.5,2.0,0.5,18.0,0.5,R,F,CZE,2005.0,175.78571428571428,63.65,1.2,0.3539054901783444,100.0,14.35,32.26,0.62,2.72,13.09
2216,LUCIE HRADECKA,0.4701492537313433,123.0,0.4796747967479675,11.0,0.36363636363636365,R,F,CZE,1985.0,177.0,77.35792532975631,11.42,0.579293237827244,999.0,13.01,48.8,4.28,7.86,56.6
2219,LUCIE SAFAROVA,0.5535714285714286,112.0,0.5535714285714286,0.0,0.0,L,F,CZE,1987.0,177.0,98.92290322580645,11.06,0.6163330078125,737.0,8.2,47.47,9.7,9.03,67.32
2221,LUCREZIA STEFANINI,0.5601503759398496,198.0,0.5404040404040404,68.0,0.6176470588235294,U,F,ITA,1998.0,166.83333333333334,62.16681007285034,0.01,0.6084938843742321,3076.0,6.09,40.11,1.94,4.84,33.52
2223,LUDMILLA SAMSONOVA,0.6175298804780877,173.0,0.6127167630057804,78.0,0.6282051282051282,R,F,RUS,1998.0,180.0,76.00110887096774,10.5,0.5577782470062537,1734.0,8.57,50.59,5.21,6.56,47.7
2224,LUIS DAVID MARTINEZ,0.38571428571428573,67.0,0.3880597014925373,3.0,0.3333333333333333,U,M,VEN,1989.0,185.6747825006256,90.10163652024117,9.36,0.5811133200795229,524.0,10.19,46.94,13.81,8.06,68.2
2225,LUIS FARIA,0.23529411764705882,5.0,0.0,12.0,0.3333333333333333,R,M,BRA,1999.0,184.53846153846155,103.4423076923077,6.36,0.5394045534150613,147.0,8.03,41.91,4.95,6.91,66.97
2226,LUIS PATINO,0.16,46.0,0.17391304347826086,4.0,0.0,R,M,MEX,1993.0,183.33333333333331,91.58928571428572,7.08,0.5568432671081678,453.0,7.46,45.98,11.87,8.32,72.07
2229,LUISA STEFANI,0.5125,75.0,0.5333333333333333,5.0,0.2,U,F,BRA,1997.0,172.13786827469158,64.63789868667918,8.39,0.6778420777270723,636.0,8.51,68.22,1.79,5.52,37.15
2230,LUKAS KLEIN,0.5135135135135135,45.0,0.5111111111111111,66.0,0.5151515151515151,R,M,SVK,1998.0,189.28571428571428,91.05458089668616,10.6,0.6310173396386565,689.0,6.76,50.13,8.43,7.36,68.96
2231,LUKAS LACKO,0.5228070175438596,237.0,0.5611814345991561,48.0,0.3333333333333333,R,M,SVK,1987.0,185.0,87.98679924990131,16.7,0.6465321820843309,1618.0,5.29,51.58,16.79,6.63,72.58
2232,LUKAS MUGEVICIUS,0.45454545454545453,11.0,0.45454545454545453,0.0,0.0,R,M,LTU,1995.0,179.0,81.8,7.49,0.5607843137254902,94.0,10.85,46.03,7.09,6.18,64.3
